country,country_code,year, tourism_receipts ,tourism_arrivals,tourism_exports,tourism_departures,tourism_expenditures, gdp ,inflation,unemployment
"Macao SAR, China",MAC,2002," $4,428,000,000 ",11531000,64.40627996,,11.74838524," $7,371,692,774.43 ",-2.637516998,6.267
St. Martin (French part),MAF,2002,,,,,,,,
Morocco,MAR,2002," $3,157,000,000 ",4709000,30.00201058,1533000,5.748636674," $47,077,192,187.64 ",2.795619669,11.59
Monaco,MCO,2002,,263000,,,," $2,919,647,981.81 ",,
Moldova,MDA,2002," $72,000,000 ",18000,9.535034631,,9.290432559," $1,661,818,168.42 ",5.301243903,6.845
Madagascar,MDG,2002," $109,000,000 ",,10.03985408,,11.99513995," $5,351,701,663.41 ",16.49852553,
Maldives,MDV,2002,,485000,,43000,13.16187173," $897,031,250.00 ",4.178672399,
Middle East & North Africa,MEA,2002,,,,,10.61541651," $982,253,939,378.39 ",1.83299389,12.89470969
Mexico,MEX,2002," $9,547,000,000 ",100153000,5.398388405,124633000,3.748875284," $810,666,116,505.48 ",5.030727332,3.003
Marshall Islands,MHL,2002," $3,400,000 ",6000,,,," $131,960,000.00 ",,
Middle income,MIC,2002,,394155191.5,8.53397601,318157017.9,6.042312919," $5,671,238,528,505.74 ",4.268709323,
North Macedonia,MKD,2002," $55,000,000 ",123000,5.582984235,,3.309747239," $4,018,365,747.01 ",2.314597941,31.94
Mali,MLI,2002," $105,000,000 ",96000,10.0051219,,5.612544585," $3,908,121,307.02 ",5.032822757,
Malta,MLT,2002," $757,000,000 ",1483000,21.10083727,,5.173996377," $4,455,128,822.75 ",2.188490481,6.902
Myanmar,MMR,2002," $136,000,000 ",487000,5.614265298,,1.778018378," $6,777,632,512.08 ",57.07451126,
Middle East & North Africa (excluding high income),MNA,2002," $20,309,885,241 ",29063175.72,20.40909762,,6.437711588," $463,162,700,952.37 ",2.729135699,13.69623981
Montenegro,MNE,2002,,136000,,,," $1,284,685,050.52 ",,
Mongolia,MNG,2002," $143,000,000 ",235000,20.1839489,,13.20418971," $1,396,555,719.97 ",0.917074687,6.2
Northern Mariana Islands,MNP,2002,,476000,,,," $1,284,000,000.00 ",,
Mozambique,MOZ,2002," $65,000,000 ",943000,,,," $5,950,769,426.60 ",,
Mauritania,MRT,2002,,,,,," $1,777,057,481.26 ",3.895705258,
Mauritius,MUS,2002," $829,000,000 ",709000,28.10154264,162000,7.949267936," $4,906,494,249.38 ",6.419333722,8.205
Malawi,MWI,2002," $45,000,000 ",383000,9.536705303,,10.81581197," $5,087,328,437.87 ",14.74463461,
Malaysia,MYS,2002," $8,084,000,000 ",13292000,7.468982371,29866000,3.63263272," $100,845,526,315.79 ",1.807872463,3.48
North America,NAC,2002," $126,480,700,213 ",109814000,8.543207746,106504719.5,5.58166361," $11,693,694,562,098.00 ",1.922213018,5.976790857
Namibia,NAM,2002," $244,000,000 ",799000,18.24421726,,," $3,349,169,826.39 ",,
New Caledonia,NCL,2002,,104000,,72000,," $3,740,056,747.72 ",,
Niger,NER,2002," $20,200,001 ",39000,6.092453112,,5.51439845," $2,782,192,878.67 ",2.628865979,
Nigeria,NGA,2002," $256,000,000 ",2046000,1.411444708,,5.760421628," $95,054,059,302.70 ",12.8765792,
Nicaragua,NIC,2002,,579000,,532000,6.335850778," $5,223,727,302.55 ",3.750174658,
Netherlands,NLD,2002," $11,745,000,000 ",9595000,4.511315361,16719000,5.848231886," $475,529,972,122.75 ",3.287531047,2.554
Norway,NOR,2002," $2,581,000,000 ",3111000,3.265324305,2629000,10.5380672," $195,914,852,576.47 ",1.286725284,4.022
Nepal,NPL,2002," $134,000,000 ",275000,14.29726986,238000,6.497535523," $6,050,875,806.66 ",3.029399487,
Nauru,NRU,2002,,,,,," $21,017,423.61 ",,22.76
New Zealand,NZL,2002," $3,159,000,000 ",2045000,15.12272657,1293000,7.208719714," $66,627,729,311.45 ",2.677092577,5.282
OECD members,OED,2002," $378,217,798,040 ",845244937.7,6.741823052,662519504.1,6.848113312," $28,618,593,207,391.80 ",2.477360679,7.143590968
Oman,OMN,2002," $539,000,000 ",1112000,4.57697659,,9.343314064," $23,065,539,661.90 ",-0.279578823,
Other small states,OSS,2002,,23251643.31,19.59596168,,9.480631813," $61,653,471,005.14 ",2.801155052,
Pakistan,PAK,2002," $562,000,000 ",498000,4.622470801,,3.907369091," $97,923,302,809.35 ",3.290344726,7.83
Panama,PAN,2002," $710,000,000 ",800000,9.351210389,200000,3.291020216," $12,800,851,300.00 ",1.005830904,14.11
Peru,PER,2002," $836,000,000 ",,9.389052004,1232000,8.416291444," $54,777,553,515.08 ",0.193135004,4.84
Philippines,PHL,2002," $2,018,000,000 ",1933000,7.461913918,1969000,5.41994447," $84,307,345,887.54 ",2.722772277,
Palau,PLW,2002,,59000,,,," $162,665,500.00 ",-1.301236174,
Papua New Guinea,PNG,2002,,,,92000,," $2,999,511,040.20 ",11.7994471,
Poland,POL,2002," $4,971,000,000 ",50735000,8.754997446,45043000,5.438477226," $199,694,463,255.57 ",1.90528215,20.211
Pre-demographic dividend,PRE,2002," $3,432,496,670 ",9597982.873,5.572562246,,5.636357936," $309,411,061,924.60 ",4.378759718,
Puerto Rico,PRI,2002," $2,486,000,000 ",4364000,,1227000,," $71,623,500,000.00 ",,11.94
"Korea, Dem. People's Rep.",PRK,2002,,,,,,,,
Portugal,PRT,2002," $6,643,000,000 ",11644000,18.11263719,,5.547582817," $134,795,565,549.42 ",3.600346583,4.497
Paraguay,PRY,2002," $76,000,000 ",3194000,2.214555527,141000,5.021750187," $7,196,260,656.85 ",10.51024209,9.393
West Bank and Gaza,PSE,2002," $14,000,000 ",33000,2.930096275,,16.6991714," $3,555,800,000.00 ",5.70951586,27.465
Pacific island small states,PSS,2002," $573,066,768 ",,39.90681266,,7.621297516," $3,556,381,489.86 ",1.963567542,
Post-demographic dividend,PST,2002," $368,941,193,400 ",745620332.4,6.675579706,567795804.7,6.901543876," $27,285,111,272,475.30 ",1.998749211,6.630291439
French Polynesia,PYF,2002," $471,000,000 ",,50.92907529,,15.96821521," $3,965,405,552.52 ",,11.71
Qatar,QAT,2002,,,,,," $19,363,736,263.74 ",0.24,
Romania,ROU,2002," $400,000,000 ",4794000,2.547283958,5757000,2.447418738," $46,065,502,702.58 ",22.53988626,8.112
Russian Federation,RUS,2002," $5,278,000,000 ",23309000,4.50397981,20428000,13.79258439," $345,470,494,417.86 ",15.78873079,7.875
Rwanda,RWA,2002,,,,,," $1,966,003,468.49 ",1.992585425,0.89
South Asia,SAS,2002,,4527657.859,4.814274281,7919088.552,5.398372674," $695,456,014,025.08 ",3.332564933,
Saudi Arabia,SAU,2002,,,,,14.85767277," $189,605,866,666.67 ",0.247186514,5.265
Sudan,SDN,2002," $108,000,000 ",52000,5.189114391,,2.924155128," $18,137,128,388.36 ",22.22472415,
Senegal,SEN,2002," $210,000,000 ",,13.74376422,,5.368959781," $7,006,402,319.76 ",2.337301875,5.65
Singapore,SGP,2002," $4,458,000,000 ",7567000,2.616960976,4399000,5.356853612," $92,538,372,869.69 ",-0.391676867,5.65
Solomon Islands,SLB,2002," $800,000 ",,1.61831893,,7.219458211," $346,406,738.89 ",10.92963419,
Sierra Leone,SLE,2002," $38,000,000 ",,38.70618152,27000,11.64716849," $1,933,864,034.19 ",,
El Salvador,SLV,2002," $521,000,000 ",885000,20.67050188,1001000,5.751164827," $12,664,190,300.00 ",1.865525036,6.2
San Marino,SMR,2002,,3102000,,,," $1,148,872,072.39 ",,
Somalia,SOM,2002,,,,,," $2,192,684,134.59 ",,
Serbia,SRB,2002," $77,000,000 ",312000,,,," $17,930,583,571.31 ",19.49083216,13.8
Sub-Saharan Africa (excluding high income),SSA,2002," $9,514,753,152 ",22023890.38,8.742642233,,6.518177859," $446,063,787,652.06 ",5.032822757,
South Sudan,SSD,2002,,,,,,,,
Sub-Saharan Africa,SSF,2002," $9,778,100,649 ",22162330.26,8.945734108,,6.533837066," $446,810,537,330.99 ",4.705791237,
Small states,SST,2002,,36594901.98,24.96532447,,9.569025675," $83,902,231,734.43 ",2.188490481,
Sao Tome and Principe,STP,2002," $6,900,000 ",9199.999809,46.7117073,,4.455557979," $85,171,073.88 ",10.12872467,17.63
Suriname,SUR,2002," $17,000,000 ",,,,," $1,093,574,468.09 ",15.52739892,
Slovak Republic,SVK,2002," $742,000,000 ",,5.679373991,,3.425958274," $35,243,658,398.75 ",3.12714223,18.541
Slovenia,SVN,2002," $1,152,000,000 ",1302000,9.043308972,,5.216606062," $23,214,593,516.21 ",7.480777707,5.922
Sweden,SWE,2002," $5,671,000,000 ",4276000,5.30873619,,9.112848101," $267,373,345,246.53 ",2.158482136,4.965
Eswatini,SWZ,2002," $45,000,000 ",1371000,3.877167876,,," $1,432,221,739.12 ",12.01971547,
Sint Maarten (Dutch part),SXM,2002,,1436000,,,,,,
Seychelles,SYC,2002," $247,000,000 ",135000,44.90966557,53000,8.880176194," $742,134,837.51 ",0.175,9.81
Syrian Arab Republic,SYR,2002,,4678000,,3299000,," $20,669,357,462.38 ",-0.130505282,11.68
Turks and Caicos Islands,TCA,2002," $292,000,000 ",,,,," $366,707,900.00 ",,6.18
Chad,TCD,2002," $25,000,000 ",32000,,,," $1,997,005,708.82 ",5.191818952,
East Asia & Pacific (IDA & IBRD countries),TEA,2002,,134842642,9.1910715,32773176.55,6.638493955," $2,042,195,088,611.13 ",2.34316991,4.209523618
Europe & Central Asia (IDA & IBRD countries),TEC,2002,,163685842,7.428021288,116180036,8.426183173," $1,024,134,515,969.20 ",5.698990479,9.658635755
Togo,TGO,2002," $16,000,000 ",58000,3.096787331,,3.575624242," $2,410,199,032.43 ",3.059818575,
Thailand,THA,2002," $10,388,000,000 ",10873000,12.75496862,2250000,5.27339269," $134,300,904,400.02 ",0.697308977,
Tajikistan,TJK,2002," $5,000,000 ",,0.650925382,,," $1,221,106,220.29 ",12.24998478,2.5
Turkmenistan,TKM,2002,,,,79000,," $4,462,029,108.72 ",,
Latin America & the Caribbean (IDA & IBRD countries),TLA,2002," $26,649,066,562 ",133102339.9,6.89817197,147227984,5.395449345," $1,927,280,719,037.18 ",4.240266607,9.914986364
Timor-Leste,TLS,2002,,,,,," $469,455,500.00 ",,
Middle East & North Africa (IDA & IBRD countries),TMN,2002," $20,322,226,453 ",29054552.85,20.57139018,,6.036299581," $459,606,900,952.37 ",2.721032849,13.58255866
Tonga,TON,2002,,45000,,,," $182,764,260.10 ",10.35906079,
South Asia (IDA & IBRD),TSA,2002,,4386891.801,4.814274281,7801927.15,5.398372674," $695,456,014,025.08 ",3.332564933,
Sub-Saharan Africa (IDA & IBRD countries),TSS,2002," $9,778,100,649 ",22162330.26,8.945734108,,6.533837066," $446,810,537,330.99 ",4.705791237,
Trinidad and Tobago,TTO,2002," $402,000,000 ",451000,8.840605208,,5.141515264," $9,008,298,228.60 ",4.150058617,10.39
Tunisia,TUN,2002," $1,831,000,000 ",5064000,19.34165787,1939000,2.92494025," $23,141,616,604.52 ",2.721032849,14.55
Turkiye,TUR,2002,,13256000,,5131000,," $240,249,071,871.11 ",44.96412095,10.358
Tuvalu,TUV,2002,,1299.999952,,2700.000048,21.27314433," $16,842,672.60 ",,6.53
Tanzania,TZA,2002," $639,000,000 ",575000,33.63689575,,16.83878388," $14,129,651,895.69 ",5.317833661,3.6
Uganda,UGA,2002," $194,000,000 ",254000,27.60175399,184000,," $6,178,563,591.12 ",-0.287508512,3.5
Ukraine,UKR,2002," $1,001,000,000 ",12793000,4.544422754,,3.937906066," $43,956,163,612.04 ",0.757420846,10.136
Upper middle income,UMC,2002,,323043770.1,8.304179694,221251780.1,6.159477532," $4,406,965,160,468.00 ",5.301243903,6.188788443
Uruguay,URY,2002," $409,000,000 ",1354000,15.18528995,530000,9.751751356," $13,606,515,722.59 ",13.97247259,16.648
United States,USA,2002," $97,415,000,000 ",64434000,9.878865627,80883000,5.641470015," $10,929,108,000,000.00 ",1.586031627,5.783
Uzbekistan,UZB,2002," $68,000,000 ",332000,,264000,," $9,687,788,512.80 ",,0.4
St. Vincent and the Grenadines,VCT,2002,,247000,,,," $487,763,851.85 ",1.85550399,
"Venezuela, RB",VEN,2002," $484,000,000 ",590000,1.741383032,881000,8.945723875," $92,893,587,733.65 ",,16.17
British Virgin Islands,VGB,2002," $345,000,000 ",282000,,,,,,
Virgin Islands (U.S.),VIR,2002," $1,195,000,000 ",2337000,,,," $3,262,000,000.00 ",,
Viet Nam,VNM,2002,,2628000,,,," $35,064,105,500.83 ",3.830828382,2.12
Vanuatu,VUT,2002," $72,000,000 ",99000,63.26210395,11000,8.461206551," $262,596,535.55 ",1.963567542,
World,WLD,2002," $595,908,753,484 ",1319581840,6.9525768,1127808612,6.917210616," $34,940,171,807,391.60 ",2.90799857,
Samoa,WSM,2002,,,,53000,," $281,790,134.21 ",8.050314465,
Kosovo,XKX,2002,,,,,,,,55
"Yemen, Rep.",YEM,2002,,,,,," $10,693,430,511.47 ",12.23853394,
South Africa,ZAF,2002," $3,695,000,000 ",6550000,10.01833238,,6.921887208," $129,087,556,612.45 ",9.494710703,27.18
Zambia,ZMB,2002,,565000,,,6.904021434," $4,193,850,445.43 ",22.23334464,
Zimbabwe,ZWE,2002," $76,000,000 ",2041000,,,," $6,342,116,400.00 ",,
Aruba,ABW,2003," $858,099,976 ",1184000,48.58619013,,11.89598849," $2,044,111,731.84 ",3.656365079,
Africa Eastern and Southern,AFE,2003," $12,204,601,548 ",17844385.28,13.60072412,,7.122378261," $355,716,369,350.73 ",7.44970014,
Afghanistan,AFG,2003,,,,,," $4,520,946,818.55 ",,
Africa Western and Central,AFW,2003," $2,094,376,181 ",5013049.71,3.747060209,,8.243790279," $207,754,986,627.13 ",1.760904101,
Angola,AGO,2003," $63,000,000 ",107000,0.648865067,,0.556738775," $17,812,704,586.44 ",98.22414366,
Albania,ALB,2003," $537,000,000 ",557000,63.41740743,1350000,22.37490048," $5,611,496,257.14 ",0.484002612,15
Andorra,AND,2003,,11601000,,,," $2,366,941,808.94 ",,
Arab World,ARB,2003," $29,586,477,672 ",,11.08962446,,10.14539597," $830,076,468,636.60 ",2.712592475,
United Arab Emirates,ARE,2003," $1,438,000,000 ",,,,," $124,346,358,066.71 ",,
Argentina,ARG,2003," $2,306,000,000 ",2995000,6.715981269,,16.0057593," $127,586,973,492.18 ",,15.36
Armenia,ARM,2003," $90,000,000 ",206000,9.167383824,169000,6.341243109," $2,807,061,008.69 ",4.721553366,
American Samoa,ASM,2003,,,,,," $524,000,000.00 ",,
Antigua and Barbuda,ATG,2003,,623000,,,," $947,955,555.56 ",1.993530552,
Australia,AUS,2003," $14,981,000,000 ",4746000,15.92222649,3388000,9.616122654," $467,739,079,790.33 ",2.732595966,5.933
Austria,AUT,2003," $15,128,000,000 ",19078000,,8384000,," $260,779,834,340.10 ",1.355553709,4.779
Azerbaijan,AZE,2003," $70,000,000 ",1038000,2.303944221,1475000,2.525652208," $7,276,413,079.11 ",2.23386493,9.17
Burundi,BDI,2003," $1,200,000 ",74000,2.676456698,,," $784,654,423.62 ",10.64746457,
Belgium,BEL,2003," $8,848,000,000 ",6690000,4.048872833,7268000,6.448522741," $318,082,528,506.59 ",1.588964,7.68
Benin,BEN,2003," $107,900,002 ",850000,15.095914,,4.92987711," $5,349,258,094.48 ",1.487242461,
Burkina Faso,BFA,2003," $38,000,000 ",163000,,,," $4,740,768,142.67 ",2.034565741,2.78
Bangladesh,BGD,2003," $59,000,000 ",245000,0.744172998,1414000,3.514027891," $60,158,929,188.26 ",5.668707734,4.32
Bulgaria,BGR,2003," $2,051,000,000 ",6241000,20.46012158,3403000,12.13802787," $21,144,957,990.47 ",2.348641696,13.733
Bahrain,BHR,2003," $1,206,000,000 ",4844000,15.11152812,,7.929012366," $11,074,813,829.79 ",1.593625498,
"Bahamas, The",BHS,2003," $1,770,000,000 ",4594000,71.33673761,,14.17056591," $8,870,090,000.00 ",3.025045263,10.84
Bosnia and Herzegovina,BIH,2003," $404,000,000 ",165000,18.37624642,,2.408464918," $8,498,894,359.39 ",,
Belarus,BLR,2003," $339,000,000 ",1729000,3.115379314,6518000,3.767096657," $17,825,444,724.49 ",28.39783991,3.1
Belize,BLZ,2003,,999000,,,7.67534854," $1,308,900,000.00 ",2.318082747,
Bermuda,BMU,2003,,483000,,141000,," $4,186,525,000.00 ",,
Bolivia,BOL,2003," $243,000,000 ",427000,12.39034143,304000,9.618610733," $8,082,399,639.54 ",3.337274997,
Brazil,BRA,2003," $2,673,000,000 ",4133000,3.241512531,3229000,4.421546227," $558,233,745,651.87 ",14.71491972,11.169
Barbados,BRB,2003," $840,000,000 ",1090000,57.64563872,,9.752747301," $3,209,500,000.00 ",1.619433198,11
Brunei Darussalam,BRN,2003," $124,000,000 ",944000,2.5512787,,20.46494718," $7,167,725,264.75 ",0.3,
Bhutan,BTN,2003," $8,000,000 ",6300.000191,,,," $651,935,430.31 ",2.572308617,1.8
Botswana,BWA,2003," $459,000,000 ",1592000,12.51572662,,8.665447376," $7,511,582,173.38 ",9.189902656,23.8
Central African Republic,CAF,2003," $4,000,000 ",5699.999809,,6000,," $1,142,315,522.54 ",4.134709052,
Canada,CAN,2003," $12,236,000,000 ",38903000,3.717524742,,5.527164582," $895,540,646,634.79 ",2.758563214,7.574
Central Europe and the Baltics,CEB,2003," $26,063,762,063 ",177955845.4,9.958817218,88685258.06,4.740250497," $634,385,728,023.21 ",2.348641696,13.18687296
Switzerland,CHE,2003," $10,427,000,000 ",6530000,6.048878366,17548000,5.941667533," $362,075,086,507.76 ",0.638272931,4.117
Channel Islands,CHI,2003,,,,,," $7,332,244,897.96 ",,
Chile,CHL,2003," $1,309,000,000 ",,4.927395294,1509000,4.803136446," $76,492,579,644.06 ",2.810178757,9.765
China,CHN,2003," $18,707,000,000 ",91662000,4.194618398,20222000,4.075531654," $1,660,280,543,846.79 ",1.127603487,4.3
Cote d'Ivoire,CIV,2003," $76,000,000 ",,,,," $21,251,754,340.43 ",3.29680747,
Cameroon,CMR,2003," $266,000,000 ",,8.484668013,,7.896997445," $15,970,315,034.99 ",0.623163557,
"Congo, Dem. Rep.",COD,2003,,35000,,,," $8,937,567,059.88 ",12.87396572,
"Congo, Rep.",COG,2003," $30,000,000 ",,1.057435132,,6.898668846," $3,503,723,087.74 ",-0.631844987,
Colombia,COL,2003," $1,191,000,000 ",668000,7.572536137,1177000,8.048628657," $94,644,969,157.10 ",7.129788629,13.221
Comoros,COM,2003," $15,600,000 ",20600.00038,25.93478862,,7.788666391," $546,885,222.71 ",3.799081367,
Cabo Verde,CPV,2003," $135,000,000 ",150000,54.92314514,,16.4788212," $813,260,468.87 ",1.188170386,
Costa Rica,CRI,2003," $1,573,000,000 ",1514000,22.27047945,373000,6.587992176," $17,271,760,506.95 ",9.447580916,6.654
Caribbean small states,CSS,2003," $5,675,313,179 ",12223187.43,55.84730915,,11.0425312," $19,254,397,501.98 ",2.154928099,
Cuba,CUB,2003," $1,999,000,000 ",1906000,,113000,," $35,901,200,000.00 ",,2.33
Curacao,CUW,2003," $223,000,000 ",508000,,,," $2,202,117,374.30 ",1.633713914,
Cayman Islands,CYM,2003," $518,000,000 ",2113000,,,,,,3.61
Cyprus,CYP,2003," $2,325,000,000 ",2416000,36.92339928,737000,11.03769251," $14,547,329,558.32 ",4.139065387,4.153
Czechia,CZE,2003," $4,069,000,000 ",20108000,8.704104049,7213000,4.461304788," $100,435,924,704.88 ",0.118739206,7.777
Germany,DEU,2003," $30,129,000,000 ",18399000,3.790036437,85345000,10.36655414," $2,534,715,518,349.01 ",1.034222186,9.779
Djibouti,DJI,2003," $6,900,000 ",23200.00076,2.727297778,,3.243382735," $622,044,665.52 ",1.981967346,
Dominica,DMA,2003," $52,000,000 ",254000,28.78884245,,," $343,311,111.11 ",1.453368004,
Denmark,DNK,2003," $5,271,000,000 ",21119000,5.478666607,5564000,8.013817988," $218,421,193,436.25 ",2.075078206,5.398
Dominican Republic,DOM,2003," $3,128,000,000 ",3680000,48.80865074,321000,6.460500689," $21,403,167,848.14 ",27.44971274,6.938
Algeria,DZA,2003,,1166000,,1254000,," $73,482,264,190.92 ",4.268953958,23.72
East Asia & Pacific (excluding high income),EAP,2003,,125706247.6,5.685688412,36835527.58,4.328570478," $2,314,251,832,220.05 ",3.703697975,4.313390821
Early-demographic dividend,EAR,2003," $77,499,102,883 ",186159242.8,7.2504075,216755688.1,6.175019361," $3,621,672,593,945.36 ",5.452932243,
East Asia & Pacific,EAS,2003,,180513147.2,4.586958223,144565260.1,5.766486935," $8,703,213,788,319.02 ",2.289156627,4.380277316
Europe & Central Asia (excluding high income),ECA,2003,,73537448.52,,,," $497,108,250,027.86 ",4.950615593,8.604980868
Europe & Central Asia,ECS,2003," $279,224,363,398 ",736933750.1,6.593161318,467949386.2,7.657541793," $13,559,252,998,387.90 ",2.348641696,8.728892132
Ecuador,ECU,2003," $408,000,000 ",761000,5.5684615,613000,6.257191757," $30,965,208,000.00 ",7.929364875,5.662
"Egypt, Arab Rep.",EGY,2003," $4,704,000,000 ",6044000,23.44930036,,7.45076898," $80,288,461,538.46 ",4.507776363,10.91
Euro area,EMU,2003," $189,114,741,777 ",,6.980727097,237311634.4,7.726610982," $8,921,228,122,867.81 ",2.095235291,9.029925522
Eritrea,ERI,2003," $74,000,000 ",80000,,,," $870,248,267.55 ",,
Spain,ESP,2003,,82326000,,,," $907,963,217,057.65 ",3.038888394,11.283
Estonia,EST,2003," $883,000,000 ",3378000,15.57414948,2075000,6.209409394," $9,876,595,528.46 ",1.334991165,11.288
Ethiopia,ETH,2003," $336,000,000 ",180000,26.70638265,,2.419628329," $8,623,691,300.04 ",13.6740452,
European Union,EUU,2003," $221,855,492,535 ",625662233.1,6.896923399,322010732.5,7.520726501," $9,956,956,923,132.02 ",2.09199839,9.707042053
Fragile and conflict affected situations,FCS,2003," $11,051,089,610 ",17350162.91,8.032375523,,9.325118074," $470,618,172,949.34 ",5.488253634,
Finland,FIN,2003," $2,679,000,000 ",2601000,4.234486283,,5.797839792," $171,612,867,735.69 ",0.877440386,10.469
Fiji,FJI,2003," $496,000,000 ",451000,38.43449205,104000,6.069372227," $2,300,492,465.32 ",4.172747778,8.22
France,FRA,2003," $46,576,000,000 ",,9.591224824,,7.757684296," $1,835,095,983,049.09 ",2.098472191,8.307
Faroe Islands,FRO,2003,,,,,," $1,501,941,580.89 ",,3.85
"Micronesia, Fed. Sts.",FSM,2003," $16,700,001 ",18200.00076,,,," $245,432,900.00 ",0.126643348,
Gabon,GAB,2003," $84,000,000 ",234000,2.511705645,236000,12.7409096," $6,511,903,365.48 ",2.235353136,
United Kingdom,GBR,2003,,24715000,,61424000,," $2,054,422,857,142.86 ",1.376500385,4.807
Georgia,GEO,2003," $172,000,000 ",313000,13.73801038,,9.313628319," $3,991,377,904.13 ",0.837734532,11.51
Ghana,GHA,2003," $441,000,000 ",531000,13.81334056,,5.198795823," $7,632,723,555.66 ",29.77297972,
Gibraltar,GIB,2003,,,,,,,,
Guinea,GIN,2003,,44000,,,3.894269834," $5,025,167,975.26 ",,
"Gambia, The",GMB,2003," $58,000,000 ",89000,43.05691755,,4.978014481," $487,038,685.05 ",17.03286654,
Guinea-Bissau,GNB,2003," $2,400,000 ",,3.379972397,,20.98302695," $553,614,800.15 ",-3.502585511,
Equatorial Guinea,GNQ,2003,,,,,," $2,484,745,935.09 ",7.323543994,
Greece,GRC,2003," $10,852,000,000 ",14785000,29.43107789,,4.93596501," $196,930,509,813.38 ",3.530650278,9.839
Grenada,GRD,2003," $104,000,000 ",294000,49.397255,,," $591,018,407.41 ",2.154928099,
Greenland,GRL,2003,,,,,," $1,558,759,823.08 ",,10.3
Guatemala,GTM,2003," $646,000,000 ",880000,15.68469024,658000,5.108298724," $21,576,351,798.91 ",5.603476754,2.807
Guam,GUM,2003,,910000,,,," $3,569,000,000.00 ",,
Guyana,GUY,2003," $28,000,000 ",101000,4.21179302,,4.301691999," $743,063,950.32 ",5.980978141,
High income,HIC,2003," $432,841,152,809 ",871624379.2,6.265311478,627229194.3,6.822115561," $32,602,867,208,416.00 ",2.055663298,7.403047034
"Hong Kong SAR, China",HKG,2003," $9,004,000,000 ",15537000,3.699667059,60936000,5.005522959," $161,385,558,801.81 ",-2.673796791,7.86
Honduras,HND,2003," $372,000,000 ",887000,13.51362594,,6.963273421," $8,230,391,346.67 ",7.674166394,5.3
Heavily indebted poor countries (HIPC),HPC,2003," $4,600,175,431 ",9192544.326,12.46540782,,6.670566845," $215,718,549,428.88 ",5.302387732,
Croatia,HRV,2003," $6,513,000,000 ",42857000,52.13203019,,4.393185699," $35,245,317,001.82 ",1.767337808,13.924
Haiti,HTI,2003," $96,000,000 ",518000,20.43248766,,14.25556991," $5,071,947,798.27 ",28.69957779,
Hungary,HUN,2003," $4,119,000,000 ",31412000,8.362291218,14283000,5.137302974," $85,285,062,818.01 ",4.661016949,5.79
IBRD only,IBD,2003,,453203858.6,7.307097426,319711392.9,5.563881601," $6,787,013,105,172.54 ",4.095003767,6.47707439
IDA & IBRD total,IBT,2003,,496859855.2,7.327245768,411858892.5,5.66014549," $7,410,043,044,889.59 ",4.527338242,
IDA total,IDA,2003," $9,519,435,234 ",27591739.11,7.652214642,,6.975197156," $623,833,822,033.60 ",5.302976974,
IDA blend,IDB,2003," $3,058,316,095 ",,4.685368201,,8.057300156," $281,703,589,464.07 ",2.616108724,
Indonesia,IDN,2003," $4,461,000,000 ",4467000,6.427756948,3478000,7.773951581," $234,772,463,823.81 ",6.757317194,6.658
IDA only,IDX,2003," $6,606,471,436 ",15535677.34,11.03824966,,6.216323051," $342,661,759,610.61 ",5.687858527,
Isle of Man,IMN,2003,,,,,," $2,252,620,408.16 ",,0.8
India,IND,2003," $4,560,000,000 ",2726000,5.377673633,5351000,4.717127173," $607,700,687,237.32 ",3.805858995,
Not classified,INX,2003,,,,,,,,
Ireland,IRL,2003," $5,206,000,000 ",6764000,,4929000,," $164,670,771,259.60 ",3.492219091,4.478
"Iran, Islamic Rep.",IRN,2003," $1,266,000,000 ",1546000,,,," $151,911,222,120.26 ",16.46801162,
Iraq,IRQ,2003,,,,,," $21,921,569,478.82 ",33.6162106,
Iceland,ISL,2003," $486,000,000 ",348000,13.04292416,,12.87651992," $11,429,333,037.84 ",2.055663298,3.997
Israel,ISR,2003," $2,473,000,000 ",,5.686299307,3299000,7.504913798," $131,314,894,271.10 ",0.702756122,13.505
Italy,ITA,2003," $32,623,000,000 ",63026000,8.868110827,46357000,6.578496527," $1,582,930,016,538.82 ",2.672555528,8.869
Jamaica,JAM,2003," $1,621,000,000 ",2483000,46.00761212,,5.473725098," $9,430,234,810.79 ",10.08695652,11.731
Jordan,JOR,2003," $1,266,000,000 ",4600000,26.21171592,1229000,7.219429677," $10,195,627,644.57 ",1.63,14.5
Japan,JPN,2003," $11,475,000,000 ",5212000,2.199493164,13296000,8.126241828," $4,519,561,645,253.53 ",-0.256541816,5.251
Kazakhstan,KAZ,2003," $638,000,000 ",3237000,4.310105521,,5.884420178," $30,833,692,900.11 ",6.438218101,8.78
Kenya,KEN,2003," $619,000,000 ",1146000,17.14744342,,," $14,904,517,649.85 ",9.81569063,
Kyrgyz Republic,KGZ,2003," $62,000,000 ",342000,8.282987036,,3.9650756," $1,919,008,090.50 ",2.974612952,9.92
Cambodia,KHM,2003," $441,000,000 ",701000,16.73765146,60000,1.934249667," $5,046,693,484.32 ",0.941746118,0.909
Kiribati,KIR,2003,,130100.0061,,,," $96,105,634.75 ",,
St. Kitts and Nevis,KNA,2003," $75,000,000 ",247000,30.48387032,,," $469,869,869.87 ",2.235436644,
